location_id,city,neighbourhood,country,lat,lon,expected_class,osm_element_count,F01_poi_density,F02_land_use_entropy,F03_retail_gf_ratio,F04_work_residential_ratio,F05_housing_in_between,F06_residential_density,F07_housing_diversity,F08_public_private_gradient,F09_street_cafe_density,F10_market_cluster,F12_gamma_index,F13_pedestrian_count,F14_shop_variety,F15_night_economy,F16_transit_access,F17_civic_presence,F18_healthcare_access,F19_education_scatter,F20_industrial_ribbon,F21_home_workshop_density,F22_intersection_density,F23_height_mix,F25_promenade_score,F26_density_gradient,F27_food_stand_density,F28_workspace_cluster,F29_gini_simpson,F30_green_space_ratio
47,Mumbai,Colaba Causeway,India,18.9207936,72.8305795,High,1595,803.24,0.5652,0.0969,0.4762,0.0301,73.11,0.3333,0.0341,11.9366,1,0.7134,13.93,2.15,0.3,23,1,4,2,0.0581,0.4974,177.06,0.0155,0.189,0.0,3.4815,10.4445,0.7039,0.0149
52,Mumbai,Grant Road Station Area,India,18.9632181,72.8180437,High,1449,730.62,0.655,0.0528,0.0645,0.0026,246.69,0.3333,0.0265,9.9472,1,0.7079,29.84,1.85,0.1,23,0,14,2,0.0732,0.4974,307.37,0.0113,0.2487,0.0,2.4868,2.4868,0.7829,0.0109
54,Mumbai,Mulund West Market,India,19.1724153,72.9561862,High,2127,1067.83,0.5882,0.071,0.7717,0.007,45.76,0.5,0.0247,11.4393,1,0.7872,36.8,1.5,0.05,59,1,15,1,0.0324,1.9894,202.43,0.0125,0.2984,1.6667,11.9366,7.9577,0.7034,0.0079
86,Bengaluru,Church Street,India,12.9734314,77.6517971,High,5661,2825.5,0.4503,0.0784,1.9133,0.0132,74.6,0.6667,0.0181,10.9419,1,0.8787,70.13,1.95,0.2,18,1,20,2,0.069,5.471,308.36,0.0039,0.4601,0.7895,17.4076,25.8627,0.5159,0.0049
15,Delhi,Jama Masjid Area,India,28.6506822,77.232961,High,1031,542.62,0.5421,0.3667,12.8333,0.0042,5.97,0.3333,0.0376,9.9472,1,0.8364,76.59,0.7167,0.0,24,1,9,7,0.1818,0.4974,308.86,0.0271,0.4824,1.6667,10.4445,1.9894,0.7438,0.0119
16,Delhi,Nehru Place IT Market,India,28.5492574,77.2529526,Medium,2393,1219.03,0.5961,0.1359,1.6529,0.0332,60.18,0.5,0.0237,10.9419,1,0.8584,88.03,1.4138,0.1379,37,0,12,4,0.0345,10.9419,312.84,0.0083,0.5496,2.4,20.8891,37.7993,0.7396,0.0188
17,Delhi,Rohini Sector 10 Market,India,28.7194201,77.1096302,Medium,472,263.1,0.6197,0.1424,9.5,0.0033,1.99,0.1667,0.0113,10.9419,1,0.7948,20.39,1.4211,0.0702,5,0,4,3,0.05,0.4974,180.04,0.0232,0.2114,2.449,6.963,0.9947,0.775,0.0321
18,Delhi,Preet Vihar Market,India,28.6414409,77.2952594,Medium,2671,1355.8,0.2974,0.0338,1.9512,0.0156,20.39,0.1667,0.0092,11.9366,1,0.8756,22.88,1.3091,0.1273,10,1,12,10,0.0256,5.9683,304.88,0.0043,0.2338,3.75,6.4657,9.4498,0.3879,0.0191
19,Delhi,Rajouri Garden Main Market,India,28.6511896,77.1242597,Medium,2400,1222.01,0.516,0.0151,2.625,0.0009,3.98,0.1667,0.0057,10.9419,1,0.8912,8.95,1.2105,0.0702,22,0,8,6,0.2812,0.0,369.54,0.0027,0.1542,1.1321,0.9947,0.4974,0.6465,0.0081
20,Delhi,Mayur Vihar Phase 1 Market,India,28.6035543,77.2899208,Medium,1418,734.1,0.2571,0.1058,0.75,0.0029,67.64,0.5,0.0122,11.4393,1,0.8011,22.38,1.1724,0.0517,26,0,6,11,0.0,1.4921,119.37,0.0096,0.2263,0.5357,12.9313,3.9789,0.2922,0.0251
36,Delhi,DLF Cyber City Gurugram,India,28.4979218,77.0886929,Low,1588,818.16,0.6137,0.0387,6.0,0.0159,2.49,0.5,0.0146,10.9419,1,0.7318,33.82,1.8947,0.1404,13,0,7,9,0.0938,0.0,170.1,0.0091,0.2785,0.8333,1.9894,8.9525,0.7578,0.0213
37,Delhi,Noida Sector 62 IT Park,India,28.617251,77.2805705,Low,934,494.38,0.6117,0.1042,0.1447,0.0081,195.96,0.3333,0.0141,10.9419,1,0.8743,39.79,1.1,0.0,20,1,11,5,0.0541,0.9947,268.57,0.0163,0.3084,2.3077,3.9789,4.4762,0.6969,0.0282
38,Delhi,Noida Sector 12 Residential,India,28.6336139,77.2234769,Low,2266,1153.38,0.49,0.8503,19.7619,0.1146,10.44,0.5,0.088,16.9102,1,0.7942,182.53,1.3396,0.1132,41,1,6,7,0.1757,6.963,404.35,0.0223,0.6691,1.9149,44.7623,34.8151,0.6428,0.0065
39,Delhi,Vivek Vihar Residential,India,28.6670043,77.3076334,Low,1375,711.72,0.4138,0.0279,0.172,0.0067,78.09,0.3333,0.0014,10.9419,1,0.908,61.18,1.0536,0.0179,6,1,10,13,0.05,0.0,427.23,0.0154,0.4153,1.4706,0.0,0.9947,0.545,0.0461
40,Delhi,Paschim Vihar Residential,India,28.6695782,77.095956,Low,2154,1099.16,0.3439,0.0025,0.0108,0.0005,138.76,0.5,0.0009,12.434,1,0.8563,2.49,1.25,0.0536,2,1,3,15,0.14,0.0,184.02,0.003,0.1368,0.8491,0.9947,0.9947,0.432,0.0226
41,Delhi,Gurugram DLF Phase 1,India,28.5307687,77.1045037,Low,205,118.37,0.5943,0.012,3.0,0.0,0.0,0.0,0.0042,5.471,1,0.6258,4.97,1.697,0.0909,1,0,0,1,0.1,0.9947,39.29,0.006,0.0796,3.3333,0.0,0.9947,0.76,0.0042
43,Delhi,Manesar Industrial Hub,India,28.3083078,76.8958358,Low,62,46.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9894,1,0.7845,0.0,1.1935,0.0,0,0,7,3,0.0,0.0,48.24,0.0161,0.0199,0.0,0.0,0.0,0.0,0.0
44,Delhi,Bahadurgarh Industrial Area,India,28.6609702,77.21241,Low,715,383.96,0.5354,0.0365,1.2667,0.0139,7.46,0.1667,0.0117,9.9472,1,0.8159,13.93,0.9123,0.0,14,0,9,8,0.0,0.0,234.26,0.0191,0.1691,0.2679,0.4974,0.4974,0.6484,0.0104
45,Delhi,Faridabad NIT Residential,India,28.5009826,77.3155004,Low,395,225.3,0.256,0.0223,4.0,0.0,0.0,0.0,0.0088,10.4445,1,0.8506,0.5,0.9655,0.0,0,0,11,8,0.5,0.0,260.62,0.0056,0.1069,2.4,0.4974,0.9947,0.5,0.0243
48,Mumbai,Fort Business District,India,18.9219661,72.8345657,High,1325,685.86,0.5577,0.138,0.766,0.045,46.75,0.3333,0.0544,18.4023,1,0.7217,13.43,1.4259,0.1296,16,1,7,8,0.0179,0.9947,146.72,0.0184,0.2512,0.5769,3.9789,7.9577,0.6996,0.0152
49,Mumbai,Dadar TT Circle,India,19.0178314,72.8478234,High,1686,867.39,0.6575,0.0922,0.2482,0.0114,202.43,0.3333,0.0115,10.9419,1,0.73,39.29,1.069,0.069,38,1,25,19,0.1429,0.0,253.65,0.0131,0.3059,1.1111,7.4604,2.4868,0.7934,0.0161
50,Mumbai,Dharavi Mixed Use,India,19.044463,72.8586177,High,2456,1250.36,0.6043,0.0229,0.0635,0.0014,289.96,0.5,0.0064,10.4445,1,0.7154,36.31,0.9655,0.0517,14,1,12,16,0.0968,0.9947,196.95,0.0079,0.286,0.5357,1.4921,2.4868,0.6949,0.0103
51,Mumbai,Juhu Beach Road,India,19.0958753,72.828165,High,489,272.06,0.4715,0.1339,0.2266,0.0179,63.66,0.6667,0.0347,12.9313,1,0.7065,7.96,1.1897,0.0862,8,0,2,15,0.0294,0.0,22.38,0.0298,0.1691,1.4151,7.4604,0.4974,0.6367,0.0037
53,Mumbai,Santacruz West Market,India,19.0844004,72.8372899,High,1506,777.37,0.4457,0.0336,0.075,0.0056,218.84,0.5,0.0122,10.9419,1,0.7338,14.42,1.1754,0.0175,26,1,20,9,0.0638,0.0,170.1,0.0112,0.1815,2.449,0.9947,0.4974,0.4943,0.009
55,Mumbai,Borivali West Station Road,India,19.2313925,72.8408607,High,892,471.0,0.1567,0.0089,0.0025,0.0025,199.44,0.3333,0.0063,10.4445,1,0.7105,2.98,1.2364,0.0364,5,0,15,10,0.0323,0.0,142.74,0.0102,0.1194,1.1765,0.9947,0.0,0.1811,0.018
56,Mumbai,Andheri East MIDC Market,India,19.1080912,72.8565252,High,1338,691.83,0.2898,0.0672,0.1534,0.0118,168.6,0.6667,0.028,13.9261,1,0.6899,3.98,1.3962,0.0943,22,1,10,9,0.0,0.9947,154.18,0.0127,0.1592,0.5882,2.9842,6.4657,0.3974,0.0101
57,Mumbai,Malad West Inorbit Area,India,19.1852851,72.8358611,High,758,403.86,0.611,0.0272,0.0433,0.0181,114.89,0.5,0.0111,11.9366,1,0.7509,1.99,1.6667,0.0741,1,0,10,3,0.0769,0.0,112.9,0.0166,0.1293,4.7561,0.9947,0.9947,0.7337,0.0111
58,Mumbai,Andheri West Market,India,19.1172495,72.833968,Medium,1109,579.92,0.592,0.0439,0.094,0.0071,132.3,0.5,0.0163,10.9419,1,0.7471,13.93,1.3333,0.0877,21,0,13,13,0.0333,0.0,129.81,0.019,0.179,1.7647,0.9947,0.9947,0.6761,0.0206
59,Mumbai,Powai Hiranandani,India,19.1191245,72.9136382,Medium,950,499.85,0.573,0.5012,0.7137,0.0145,116.38,0.6667,0.0627,11.9366,1,0.6954,7.46,1.4727,0.1636,25,1,6,12,0.1364,4.4762,122.85,0.0291,0.1567,0.566,19.8944,5.471,0.7035,0.0229
60,Mumbai,Kurla LTT Area,India,19.0652797,72.8793805,Medium,876,463.54,0.511,0.022,0.2353,0.0151,25.37,0.3333,0.0107,9.4498,1,0.7425,14.42,1.2321,0.0536,10,0,12,8,0.1132,0.4974,177.06,0.0165,0.1666,2.8723,0.0,1.4921,0.6038,0.0064
61,Mumbai,Thane Station Area,India,19.1537083,72.9994438,Medium,2934,1487.6,0.7017,0.0099,1.1053,0.0018,9.45,0.5,0.0094,9.9472,1,0.8416,8.95,1.3509,0.0526,48,0,13,7,0.2,0.0,156.67,0.0037,0.1442,1.1321,0.9947,1.9894,0.83,0.008
62,Mumbai,Navi Mumbai Vashi Sector 17,India,19.0711269,72.9954715,Medium,1446,747.53,0.5975,0.0919,1.0759,0.0115,39.29,0.1667,0.0106,10.9419,1,0.7572,26.86,1.4912,0.0351,32,1,13,12,0.0485,0.9947,212.37,0.0124,0.2437,0.8333,5.9683,4.4762,0.746,0.0213
63,Mumbai,Khar West Market,India,19.0624737,72.8282577,Medium,2977,1508.49,0.2467,0.2111,0.2614,0.0266,578.43,0.6667,0.0435,18.4023,1,0.7693,20.89,1.2857,0.0893,34,0,16,12,0.0,1.4921,191.98,0.0109,0.2885,1.1538,9.4498,7.4604,0.2758,0.0069
